127.0.0.1 - - [11/Mar/2024:09:55:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Mar/2024:09:55:47 +0900] "GET /day5/login.html HTTP/1.1" 200 1494
0:0:0:0:0:0:0:1 - - [11/Mar/2024:09:55:47 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:03:43 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 202
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:03:54 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2663
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:03:57 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?id=A001 HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:04:05 +0900] "POST /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateAction.jsp HTTP/1.1" 200 201
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:04:51 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2663
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:05:00 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/updateForm.jsp?id=A004 HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:09:52 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2582
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:10:41 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:11:03 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2603
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:18:37 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2931
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:22 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/memberList.jsp HTTP/1.1" 200 2945
0:0:0:0:0:0:0:1 - - [11/Mar/2024:10:19:24 +0900] "GET /day4/%ED%85%8C%EC%9D%B4%EB%B8%94%EA%B3%BC%EC%A0%9C/deleteFrom.jsp?id=A001 HTTP/1.1" 404 826
